# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
Eletrotécnica,2,"1,50","0,00%","0,00%",00:04:58,"6,00"
Eletrotécnica federal,2,"2,00","100,00%","0,00%",00:00:01,"0,00"
emfermagem,2,"2,00","100,00%","0,00%",00:00:01,"0,00"
empregos e estagios,2,"2,00","0,00%","0,00%",00:10:13,"15,50"
emprel,2,"2,50","0,00%","20,00%",00:07:17,"4,50"
ENFERMAGEM,2,"2,00","0,00%","0,00%",00:02:30,"11,00"
enfermeira,2,"2,00","50,00%","0,00%",00:00:33,"2,00"
Enfermeiro do exercito,2,"1,50","50,00%","0,00%",00:00:05,"0,50"
enfermeiro rj,2,"1,50","0,00%","0,00%",00:01:50,"5,50"
Engenharia Elétrica,2,"10,00","50,00%","0,00%",00:09:58,"1,00"
Ensino medio,2,"1,50","50,00%","0,00%",00:00:13,"0,50"
ENSINO MEDIO,2,"2,00","0,00%","25,00%",00:05:53,"2,00"
Ensino Médio,2,"2,50","0,00%","0,00%",00:44:53,"123,00"
entrevista,2,"1,50","50,00%","0,00%",00:00:35,"1,00"
epe,2,"2,00","0,00%","50,00%",00:07:29,"0,50"
Escrevente tjsp,2,"4,00","50,00%","0,00%",00:01:46,"2,50"
Escrituario,2,"2,50","50,00%","0,00%",00:00:12,"1,00"
Esfcex,2,"1,50","0,00%","0,00%",00:00:24,"2,50"
EsFCEx,2,"3,00","50,00%","16,67%",00:02:48,"2,50"
ESFCEX,2,"1,50","0,00%","0,00%",00:03:13,"5,50"
Espcex,2,"1,50","0,00%","0,00%",00:00:39,"3,50"
espirito santo,2,"2,00","50,00%","0,00%",00:00:10,"1,00"
Espirito Santo,2,"2,00","100,00%","0,00%",00:00:09,"0,00"
Espírito Santo,2,"5,00","0,00%","10,00%",00:03:33,"5,00"
EsSa,2,"2,00","50,00%","25,00%",00:00:12,"0,00"
Estabilidade,2,"1,50","0,00%","33,33%",00:00:40,"1,00"
estagio,2,"2,00","0,00%","25,00%",00:00:34,"1,00"
ESTAGIO,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
Estudar,2,"2,00","50,00%","0,00%",00:06:27,"4,50"
Eu sou,2,"2,00","0,00%","25,00%",00:01:01,"2,00"
Exercito enfermeiro,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
FAB,2,"1,50","0,00%","33,33%",00:00:19,"0,50"
FCC,2,"1,50","0,00%","0,00%",00:05:16,"3,00"
fepese,2,"3,50","0,00%","14,29%",00:04:20,"5,00"
fgv,2,"2,00","0,00%","0,00%",00:01:32,"7,50"
FISCAL,2,"1,50","50,00%","33,33%",00:00:18,"1,00"
Fisiologia humana,2,"2,00","50,00%","0,00%",00:00:06,"1,00"
forense,2,"2,00","0,00%","25,00%",00:19:33,"11,00"
formiga,2,"2,00","0,00%","50,00%",00:07:49,"8,00"
FORTALEZA,2,"3,00","50,00%","33,33%",00:01:39,"3,00"
forum,2,"1,50","50,00%","33,33%",00:00:24,"0,00"
Fotógrafo,2,"2,50","0,00%","40,00%",00:01:09,"0,00"
Funasa,2,"2,50","0,00%","20,00%",00:01:07,"2,00"
Fundamental,2,"2,50","50,00%","0,00%",00:01:54,"2,50"
fuzileiro naval,2,"2,00","50,00%","25,00%",00:01:57,"1,50"
Gabarito da prova cuidores de crianças especiais de São Pedro da aldeia,2,"5,50","50,00%","0,00%",00:01:32,"0,50"
Gabarito das provas,2,"2,00","0,00%","0,00%",00:03:37,"1,00"
Gabarito definitivo,2,"3,50","0,00%","0,00%",00:02:11,"4,50"
gabarito oficial de agente educador,2,"3,00","0,00%","16,67%",00:04:16,"1,00"
Gabarito Prova do concurso de Santa Luzia,2,"5,00","0,00%","10,00%",00:01:46,"2,50"
Garí,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
geografia,2,"2,50","50,00%","20,00%",00:00:24,"1,00"
geoprocessamento,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
Gogloo,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
GUARDA,2,"2,00","0,00%","25,00%",00:00:27,"2,00"
Guarda civil municipal,2,"1,50","50,00%","33,33%",00:00:01,"0,00"
guarda municipal bh,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
Guarda Municipal Cabo de santo agostinho,2,"1,50","100,00%","0,00%",00:00:01,"0,00"
Guarda municipal campinas,2,"2,00","0,00%","25,00%",00:01:06,"2,50"
Guarda municipal de Niterói,2,"1,50","50,00%","0,00%",00:00:13,"2,00"
Guarda municipal Niterói,2,"1,00","100,00%","0,00%",00:00:00,"0,00"
Guarda municipal rj,2,"3,00","50,00%","16,67%",00:00:47,"0,00"
hemopa,2,"3,50","50,00%","14,29%",00:01:23,"0,00"
História,2,"2,00","0,00%","50,00%",00:02:05,"12,50"
Homologação concurso professor adjunto,2,"1,50","50,00%","0,00%",00:01:34,"2,00"
IBGE EFETIVO,2,"1,50","100,00%","0,00%",00:00:01,"0,00"
ibram,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
icmbio,2,"2,00","0,00%","50,00%",00:00:31,"0,00"
Icmbio,2,"3,00","0,00%","16,67%",00:03:50,"13,00"
icms rj,2,"2,00","50,00%","0,00%",00:05:56,"3,50"
Idade máxima,2,"1,50","100,00%","0,00%",00:02:22,"0,00"
Idade minima,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
if,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
ifbaiano,2,"2,50","0,00%","20,00%",00:02:45,"3,00"
ifpe,2,"1,50","0,00%","33,33%",00:00:54,"1,00"
Ifpe,2,"2,00","0,00%","0,00%",00:00:10,"2,00"
Ifrn,2,"2,00","0,00%","25,00%",00:10:10,"2,50"
IGUABA,2,"2,00","0,00%","50,00%",00:00:20,"0,00"
Imparh,2,"4,00","100,00%","0,00%",00:00:25,"0,00"
Imperatriz -ma,2,"2,50","100,00%","0,00%",00:04:52,"0,00"
INCA,2,"1,50","50,00%","0,00%",00:08:01,"1,50"
Incriçoes abertas,2,"3,00","50,00%","0,00%",00:07:02,"4,00"
Incrições abertas,2,"4,50","100,00%","0,00%",00:01:05,"0,50"
Inês,2,"4,00","0,00%","25,00%",00:00:39,"0,00"
infantil,2,"2,00","50,00%","25,00%",00:00:16,"2,50"
inmetro,2,"4,00","0,00%","0,00%",00:01:48,"10,50"
Inmetro,2,"1,00","50,00%","0,00%",00:00:07,"0,50"
inpi,2,"2,00","50,00%","0,00%",00:00:18,"0,50"
Inscrição aberta,2,"1,50","50,00%","0,00%",00:01:43,"5,00"
Inscrição Comlurb rj,2,"1,50","50,00%","0,00%",00:01:27,"0,50"
inscrições,2,"3,50","50,00%","14,29%",00:02:51,"0,00"
Inscrições do co concurso rio bonito,2,"1,00","0,00%","0,00%",00:00:25,"2,00"
Inspetor de aluno,2,"2,00","100,00%","0,00%",00:00:44,"0,00"
inspetor policia civil rj,2,"2,00","0,00%","25,00%",00:01:08,"2,50"
inss rj,2,"2,00","50,00%","25,00%",00:00:08,"0,00"
IPHAN,2,"2,00","0,00%","25,00%",00:18:03,"6,50"
iss fortaleza,2,"2,00","0,00%","0,00%",00:12:11,"2,00"
iss porto alegre,2,"1,00","0,00%","50,00%",00:19:40,"4,50"
Iss rj,2,"5,00","0,00%","40,00%",00:04:52,"0,50"
Iss Uberlândia,2,"3,00","50,00%","16,67%",00:00:15,"1,00"
itaborai,2,"2,00","50,00%","0,00%",00:00:17,"0,50"
ITABORAÍ,2,"1,50","50,00%","33,33%",00:00:17,"0,00"
itaocara,2,"2,00","50,00%","0,00%",00:00:11,"1,50"
itau,2,"2,50","0,00%","0,00%",00:09:43,"3,00"
Itep,2,"2,00","50,00%","0,00%",00:00:33,"1,00"
itep-rn,2,"2,00","0,00%","0,00%",00:21:16,"12,50"
ituporanga,2,"1,00","100,00%","0,00%",00:00:00,"0,00"
iuds,2,"1,50","50,00%","0,00%",00:00:06,"1,00"
João Câmara,2,"1,50","0,00%","33,33%",00:02:43,"1,00"
jornada,2,"1,50","0,00%","0,00%",00:38:23,"21,00"
jovem aprendiz,2,"1,50","50,00%","0,00%",00:02:27,"1,00"
judiciário,2,"2,50","0,00%","20,00%",00:01:25,"4,50"
Juiz de Fora,2,"3,00","0,00%","16,67%",00:02:01,"3,50"
Juiz federal,2,"4,00","0,00%","0,00%",00:03:17,"5,50"
Juiz substituto,2,"2,00","50,00%","25,00%",00:00:22,"2,00"
Karine do Nascimento Moreno,2,"1,00","50,00%","0,00%",00:00:36,"1,00"
legislação,2,"5,50","0,00%","9,09%",00:05:33,"29,00"
Legislação,2,"2,50","50,00%","20,00%",00:04:03,"10,50"
Legislação de Trânsito,2,"1,00","50,00%","0,00%",00:00:07,"1,00"
leo murga,2,"3,50","0,00%","28,57%",00:20:13,"6,00"
Libras,2,"3,50","0,00%","28,57%",00:01:07,"2,50"
liquigas,2,"1,50","0,00%","33,33%",00:01:14,"2,00"
Liquigas concurso,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
lista convocados exame medico,2,"1,50","50,00%","0,00%",00:00:56,"2,00"
lista de aprovados agente educador,2,"1,00","100,00%","0,00%",00:00:00,"0,00"
Lista de aprovados agente educador 2019,2,"4,50","50,00%","0,00%",00:03:06,"2,00"
lista dos aprovados,2,"5,00","50,00%","0,00%",00:01:42,"0,50"
Lista dos aprovados no CFO 2019 Sp,2,"1,50","50,00%","0,00%",00:00:53,"0,50"
Lista dos convocados,2,"4,00","0,00%","0,00%",00:08:45,"5,00"
local de prova,2,"1,00","0,00%","0,00%",00:00:53,"2,50"
macae,2,"2,00","0,00%","50,00%",00:00:22,"0,00"
mapa,2,"3,00","50,00%","16,67%",00:00:06,"0,00"
maragogi,2,"2,00","0,00%","0,00%",00:00:51,"1,50"
MARITUBA,2,"1,00","100,00%","0,00%",00:00:00,"0,00"
Matéria,2,"3,00","50,00%","33,33%",00:01:38,"3,50"
Material ALEPI,2,"4,00","100,00%","0,00%",00:07:27,"0,00"
Maua,2,"2,00","50,00%","0,00%",00:06:35,"1,50"
MEDICO,2,"11,00","50,00%","4,55%",00:03:02,"7,50"
medico legista,2,"2,50","50,00%","20,00%",00:00:47,"1,00"
Médico perito,2,"3,00","0,00%","16,67%",00:03:22,"2,50"
Médico veterinário,2,"1,50","0,00%","0,00%",00:00:19,"2,50"
Medio,2,"1,50","0,00%","0,00%",00:02:15,"6,50"
Médio,2,"2,00","100,00%","0,00%",00:00:01,"0,00"
Merendeira,2,"1,50","0,00%","66,67%",00:00:32,"0,00"
Messias samuel souza lima passol nuconcurso de petrolina de guarda civil,2,"3,00","50,00%","0,00%",00:01:18,"1,50"
Meu nome,2,"2,00","50,00%","0,00%",00:01:10,"2,00"
MINAS GERAIS,2,"3,00","50,00%","0,00%",00:05:24,"2,50"
Minha inscrição,2,"4,50","50,00%","0,00%",00:01:29,"0,50"
ministerio da fazenda,2,"3,50","0,00%","14,29%",00:01:49,"3,00"
Ministério da Saúde,2,"1,00","0,00%","0,00%",00:12:29,"2,00"
Ministério do trabalho,2,"1,50","50,00%","0,00%",00:04:14,"1,00"
ministerio publico sao paulo,2,"3,00","50,00%","16,67%",00:01:15,"0,00"
monte azul mg,2,"1,50","50,00%","0,00%",00:00:11,"1,00"
Moreira sales,2,"2,00","50,00%","0,00%",00:00:10,"1,50"
Motorista de caminhão,2,"2,00","0,00%","50,00%",00:03:17,"5,00"
Mp,2,"1,50","0,00%","0,00%",00:00:32,"1,50"
MP,2,"4,00","50,00%","0,00%",00:18:14,"8,50"
MP rj,2,"2,00","50,00%","0,00%",00:00:15,"0,50"
MP-PE homologação,2,"1,50","50,00%","33,33%",00:00:12,"0,00"
MP-RJ,2,"2,50","0,00%","0,00%",00:09:23,"19,00"
Mp-sp,2,"2,00","50,00%","25,00%",00:00:10,"0,00"
MP-SP,2,"1,50","0,00%","0,00%",00:01:51,"7,50"
Mpce,2,"3,50","0,00%","14,29%",00:26:08,"3,00"
mpe rj,2,"1,50","50,00%","0,00%",00:00:30,"2,00"
Mpf,2,"1,00","0,00%","0,00%",00:00:38,"2,00"
Mpsp,2,"3,00","0,00%","16,67%",00:02:53,"5,00"
mpt,2,"2,00","0,00%","0,00%",00:00:19,"1,50"
mpu 2019,2,"1,50","0,00%","0,00%",00:06:56,"6,00"
mte,2,"1,50","0,00%","33,33%",00:00:23,"0,50"
Necropcia,2,"4,50","0,00%","33,33%",00:02:40,"3,50"
Necropicia,2,"1,50","0,00%","0,00%",00:15:53,"12,50"
necropsia 2002,2,"2,00","50,00%","25,00%",00:00:03,"0,00"
niterói,2,"3,00","0,00%","16,67%",00:14:36,"7,50"
nível fundamental,2,"7,50","50,00%","6,67%",00:15:21,"3,50"
Nível fundamental 2019,2,"2,00","0,00%","25,00%",00:08:44,"12,50"
nivel medio,2,"2,00","50,00%","0,00%",00:00:18,"1,00"
Nivel médio,2,"2,00","50,00%","0,00%",00:09:01,"24,00"
Nível Médio,2,"1,50","50,00%","0,00%",00:00:27,"1,00"
Nível superior,2,"3,00","0,00%","16,67%",00:07:47,"11,00"
Nome dos classificados,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
Nomes dos aprovados no concurso para a Gente educador,2,"7,00","50,00%","7,14%",00:07:38,"2,50"
Nomes dos convocados do concurso agente educador km Rj,2,"2,50","100,00%","0,00%",00:01:08,"0,00"
notícias,2,"1,50","50,00%","0,00%",00:01:31,"2,00"
nova friburgo,2,"1,50","50,00%","0,00%",00:01:57,"4,50"
Nova iguacu,2,"1,50","0,00%","0,00%",00:01:16,"4,00"
O cque m,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
O gabarito das provas de 23 junho 2019,2,"3,50","0,00%","0,00%",00:08:13,"8,00"
oab,2,"1,50","0,00%","0,00%",00:01:14,"4,00"
odonto,2,"2,50","100,00%","0,00%",00:00:09,"0,00"
oficial de chancelaria,2,"2,50","0,00%","0,00%",00:03:00,"13,00"
PA,2,"11,00","50,00%","0,00%",00:02:58,"4,00"
palmeira dos indios,2,"1,50","0,00%","0,00%",00:09:16,"3,50"
Paracambi RJ,2,"2,00","100,00%","0,00%",00:00:01,"0,00"
parana,2,"2,00","0,00%","25,00%",00:03:02,"2,00"
PARANÁ,2,"2,00","0,00%","50,00%",00:09:06,"2,50"
Paranaíba,2,"2,00","50,00%","25,00%",00:12:29,"1,50"
paranaiguara,2,"3,00","50,00%","0,00%",00:16:55,"12,50"
Paraty,2,"1,50","0,00%","66,67%",00:01:33,"2,00"
parnamirim,2,"2,00","0,00%","0,00%",00:00:11,"1,50"
Parnamirim,2,"3,00","0,00%","16,67%",00:08:51,"5,00"
parnamirim guarda municipal,2,"3,00","0,00%","16,67%",00:12:22,"17,00"
Pato de minas,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
Patologista,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
Paty do alferes 2019,2,"1,50","0,00%","33,33%",00:02:57,"2,00"
PB,2,"2,50","100,00%","0,00%",00:00:55,"0,50"
PC - RJ,2,"2,00","0,00%","50,00%",00:01:50,"3,00"
PC DF,2,"2,00","0,00%","25,00%",00:01:43,"5,00"
PC mg,2,"1,50","0,00%","0,00%",00:01:21,"1,50"
PC MG,2,"3,00","50,00%","0,00%",00:11:55,"2,00"
Pc necropsia,2,"3,50","50,00%","0,00%",00:01:00,"1,00"
PC Rio de Janeiro,2,"3,50","0,00%","14,29%",00:05:01,"8,00"
PC sp,2,"2,00","0,00%","0,00%",00:21:21,"23,50"
pc-df,2,"2,00","50,00%","0,00%",00:00:18,"1,00"
pc-mg,2,"2,00","0,00%","25,00%",00:00:32,"4,00"
pc-pr,2,"2,50","0,00%","20,00%",00:35:58,"14,00"
PC/SP,2,"3,00","0,00%","16,67%",00:01:24,"0,50"
Pces,2,"3,00","50,00%","0,00%",00:00:49,"0,50"
Pci,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
pcmg,2,"1,50","50,00%","33,33%",00:00:35,"0,00"
pcpr,2,"1,50","50,00%","0,00%",00:00:37,"1,00"
Pcsp,2,"2,00","0,00%","50,00%",00:00:26,"0,00"
pedagogo,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
pedro segundo 2019,2,"2,00","0,00%","50,00%",00:00:20,"0,00"
pef,2,"2,00","50,00%","0,00%",00:05:33,"10,00"
Pef,2,"1,50","0,00%","33,33%",00:11:55,"4,00"
penitenciario,2,"3,00","50,00%","16,67%",00:00:38,"0,50"
perito criminal federal,2,"1,00","50,00%","50,00%",00:01:03,"0,50"
Perito Legista,2,"1,00","50,00%","50,00%",00:00:33,"0,50"
Perjúrio,2,"1,50","50,00%","33,33%",00:00:11,"0,00"
Pesquisar por nome,2,"1,50","50,00%","33,33%",00:00:22,"0,50"
Petrobrás,2,"1,00","100,00%","0,00%",00:00:00,"0,00"
Petrolina,2,"2,00","0,00%","0,00%",00:04:46,"5,50"
Pf agente administrativo,2,"2,00","50,00%","25,00%",00:01:19,"0,50"
PGE eu,2,"1,50","50,00%","33,33%",00:00:06,"0,00"
Pge RJ,2,"2,00","0,00%","25,00%",00:00:59,"2,00"
PGE rj,2,"5,50","50,00%","0,00%",00:04:48,"10,50"
Pge-rj,2,"1,50","0,00%","33,33%",00:16:09,"2,00"
PGERJ,2,"2,00","0,00%","50,00%",00:01:07,"2,00"
pgm nova iguaçu,2,"1,50","0,00%","0,00%",00:08:26,"8,50"
pgm-rj,2,"2,50","50,00%","0,00%",00:00:24,"2,00"
pgr,2,"1,50","0,00%","33,33%",00:00:39,"1,00"
Pl 346/2019,2,"2,00","50,00%","0,00%",00:00:05,"1,00"
planilha,2,"4,50","100,00%","0,00%",00:01:34,"2,50"
pm - rj,2,"2,00","50,00%","0,00%",00:00:11,"0,50"
PM PR,2,"3,00","0,00%","16,67%",00:01:00,"1,00"
PM RJ,2,"2,00","0,00%","25,00%",00:00:41,"0,50"
PM sp,2,"2,00","0,00%","0,00%",00:02:13,"3,00"
pm-mg,2,"3,00","0,00%","16,67%",00:03:07,"8,00"
PM-PA,2,"1,50","50,00%","0,00%",00:09:31,"3,00"
PM-PB,2,"1,50","50,00%","0,00%",00:00:19,"1,50"
pm-rj,2,"1,50","0,00%","0,00%",00:00:28,"1,00"
pm-sc,2,"2,00","0,00%","25,00%",00:16:43,"10,00"
Pmba,2,"1,50","0,00%","33,33%",00:00:31,"1,00"
PMERJ 2019,2,"2,00","0,00%","50,00%",00:09:43,"6,50"
Pmerj soldado,2,"5,00","0,00%","0,00%",00:03:49,"3,00"
pmes,2,"2,00","50,00%","25,00%",00:01:42,"1,50"
Pmesp,2,"1,50","0,00%","33,33%",00:01:22,"5,50"
PMESP,2,"2,00","50,00%","0,00%",00:00:31,"2,50"
PMRJ,2,"3,00","0,00%","16,67%",00:10:15,"5,00"
policia civel,2,"3,00","0,00%","16,67%",00:00:49,"1,00"
POlicia civil,2,"3,00","0,00%","0,00%",00:07:07,"4,00"
POLÍCIA CIVIL,2,"1,50","0,00%","0,00%",00:13:49,"2,50"
Polícia Civil - RJ,2,"1,50","0,00%","33,33%",00:01:50,"5,00"
Polícia civil 2019,2,"2,50","100,00%","0,00%",00:00:50,"0,00"
Polícia Civil auxiliar de necropsia,2,"2,00","0,00%","25,00%",00:01:50,"0,50"
Polícia civil concurso,2,"2,00","50,00%","0,00%",00:05:18,"1,50"
policia civil do distrito federal,2,"2,00","0,00%","0,00%",00:00:20,"4,00"
Polícia civil do rj,2,"2,50","50,00%","40,00%",00:00:09,"0,00"
policia civil es,2,"1,50","50,00%","0,00%",00:00:08,"1,00"
POLICIA CIVIL MG,2,"1,50","0,00%","0,00%",00:01:29,"8,00"
policia civil pr,2,"2,00","100,00%","0,00%",00:00:10,"0,00"
POLICIA CIVIL RIO DE JANEIRO,2,"2,50","0,00%","0,00%",00:11:50,"18,50"
Polícia civil Rio de Janeiro,2,"2,00","0,00%","50,00%",00:03:26,"8,50"
Polícia Civil rio de janeiro,2,"5,50","50,00%","0,00%",00:16:58,"2,00"
policia civil RJ,2,"2,50","50,00%","0,00%",00:10:33,"21,00"
Policia Civil RJ,2,"5,00","0,00%","30,00%",00:03:28,"6,00"
Polícia Civil Rj,2,"3,50","50,00%","0,00%",00:02:14,"4,00"
POLÍCIA CIVIL RJ,2,"3,50","0,00%","0,00%",00:00:50,"3,00"
Policia civil rj 2019,2,"2,50","100,00%","0,00%",00:01:07,"0,50"
Policia civil rs,2,"2,50","50,00%","0,00%",00:00:44,"1,00"
POLÍCIA CIVIL-RJ,2,"3,00","50,00%","16,67%",00:05:49,"8,00"
Policia Federal,2,"2,50","100,00%","0,00%",00:00:20,"1,00"
Polícia federal adm,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
Policia Militar,2,"3,50","0,00%","14,29%",00:05:32,"4,00"
Policia Militar da Bahia,2,"2,50","100,00%","0,00%",00:01:19,"1,00"
Policia militar Rj,2,"2,00","0,00%","0,00%",00:00:34,"1,00"
Policia Militar SP,2,"1,50","50,00%","33,33%",00:00:12,"0,00"
POLICIAL,2,"4,50","0,00%","11,11%",00:01:02,"1,50"
PolicO,2,"2,00","0,00%","50,00%",00:01:40,"1,00"
Pontuação,2,"4,00","0,00%","0,00%",00:06:15,"8,00"
portal da transparência,2,"1,50","50,00%","0,00%",00:00:27,"0,50"
Preciso saber se passei na prova agente educador,2,"2,00","0,00%","0,00%",00:11:25,"5,00"
PREFEITURA,2,"2,50","0,00%","20,00%",00:03:08,"1,00"
prefeitura cabo frio,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
Prefeitura de Betim,2,"2,50","100,00%","0,00%",00:00:59,"0,50"
prefeitura de campinas,2,"2,00","0,00%","0,00%",00:00:54,"2,50"
Prefeitura de Nova Friburgo,2,"4,00","0,00%","12,50%",00:05:40,"4,50"
Prefeitura de Paulo Afonso,2,"2,50","0,00%","20,00%",00:01:07,"1,00"
Prefeitura de Queimados,2,"4,00","0,00%","0,00%",00:00:53,"5,00"
Prefeitura de queimados concurso para educadot,2,"3,00","50,00%","0,00%",00:00:32,"0,50"
Prefeitura do Rio,2,"4,00","0,00%","50,00%",00:05:31,"3,00"
Prefeitura do rio de janeiro,2,"1,50","100,00%","0,00%",00:00:00,"0,00"
Prefeitura do Rio de Janeiro,2,"3,50","100,00%","0,00%",00:01:47,"0,50"
prefeitura rio,2,"2,00","50,00%","25,00%",00:00:13,"0,00"
prefeitura rio bonito,2,"2,50","0,00%","0,00%",00:01:37,"2,00"
Prefeituras,2,"1,50","0,00%","33,33%",00:03:11,"1,50"
Prefeituras rj,2,"1,50","50,00%","0,00%",00:00:05,"0,50"
Preparatório,2,"2,00","50,00%","25,00%",00:01:15,"0,00"
PREVISTO,2,"5,50","100,00%","0,00%",00:08:15,"0,00"
PRF AGENTE ADMINISTRATIVO,2,"1,50","50,00%","0,00%",00:00:15,"2,00"
Priscila Martins Baptista,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
Procurador municipal,2,"3,00","50,00%","0,00%",00:04:37,"16,50"
procuradoria,2,"2,00","50,00%","25,00%",00:00:06,"0,00"
Professor Adjunto,2,"1,00","0,00%","0,00%",00:00:19,"1,00"
Professor adjunto educação infantil rio,2,"1,50","50,00%","0,00%",00:00:03,"0,50"
professor de educaçâo fisica,2,"2,50","100,00%","0,00%",00:01:11,"0,00"
Professor de historia,2,"1,50","100,00%","0,00%",00:00:49,"0,50"
professor II,2,"2,50","50,00%","0,00%",00:04:24,"3,50"
Professor rj,2,"7,00","50,00%","14,29%",00:02:27,"1,50"
professor substituto,2,"4,00","50,00%","12,50%",00:00:41,"0,50"
"professor, rj",2,"3,00","0,00%","16,67%",00:03:42,"13,00"
programador,2,"1,50","50,00%","33,33%",00:00:09,"0,00"
Promotoria,2,"4,50","0,00%","0,00%",00:08:02,"9,50"
propagada,2,"1,50","50,00%","33,33%",00:06:57,"0,00"
Prova 2009 técnico de necropsia,2,"3,00","0,00%","33,33%",00:03:57,"10,50"
prova agente educador,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
Prova assistente administrativo,2,"3,00","0,00%","0,00%",00:02:59,"26,00"
Prova de 2002 auxiliar de necropsia,2,"2,00","0,00%","25,00%",00:01:45,"5,50"
Prova pra pm rj,2,"3,00","100,00%","0,00%",00:13:14,"0,50"
Prova técnico de necropsia,2,"2,00","0,00%","50,00%",00:01:57,"1,00"
Prova unirio,2,"2,00","0,00%","0,00%",00:05:19,"8,50"
provas antigas,2,"2,00","50,00%","25,00%",00:00:52,"1,00"
Provas para download,2,"6,50","0,00%","7,69%",00:09:04,"21,50"
psicólogo,2,"3,00","50,00%","0,00%",00:04:37,"8,50"
psiquiatra,2,"4,50","50,00%","0,00%",00:02:16,"3,00"
Publicação da prova escrita agente educador RJ,2,"4,00","50,00%","0,00%",00:00:52,"0,50"
Qu,2,"2,00","100,00%","0,00%",00:00:00,"0,00"
quais materias cai no trt 2,2,"2,00","100,00%","0,00%",00:00:02,"0,00"
Que dia sai a lista de aprovados,2,"2,50","100,00%","0,00%",00:00:31,"0,00"
queimados rj,2,"2,00","0,00%","50,00%",00:08:21,"2,50"
Queimados RJ,2,"1,00","0,00%","50,00%",00:02:18,"0,50"
Quero saber a lista dos nomes que foi aprovado para a mgs qie ja vai fazer o teste pra trabalhar na mgs que passou no concurso da mgs,2,"3,50","50,00%","0,00%",00:01:24,"1,50"
Questões para concurso polícia civil auxiliar de necropsia,2,"3,00","50,00%","0,00%",00:01:14,"2,50"
Radiologia 2019,2,"1,50","50,00%","33,33%",00:00:12,"0,00"
RECIFE,2,"2,50","0,00%","20,00%",00:01:51,"4,00"
RECURSOS HUMANOS,2,"1,50","0,00%","66,67%",00:00:29,"0,00"
redação,2,"3,50","0,00%","14,29%",00:19:06,"14,00"
redação oficial,2,"3,50","0,00%","14,29%",00:09:10,"24,00"
Reforma previdenciária,2,"1,50","50,00%","33,33%",00:00:27,"0,00"
regiao dos lagos,2,"2,50","0,00%","40,00%",00:03:54,"8,50"
Região dos lagos,2,"5,00","0,00%","20,00%",00:01:15,"1,00"
regimes,2,"1,00","0,00%","0,00%",00:14:36,"5,50"
Resultado agente educador 2019,2,"2,00","0,00%","0,00%",00:00:16,"1,00"
Resultado concurso agente educador,2,"2,50","100,00%","0,00%",00:00:37,"0,00"
resultado da prova,2,"2,00","0,00%","0,00%",00:11:23,"6,00"
Resultado da prova agente educador 2019,2,"2,50","50,00%","0,00%",00:01:19,"0,50"
Resultado da prova às notas,2,"2,50","50,00%","20,00%",00:06:04,"0,00"
Resultado da prova para agente educador,2,"6,50","50,00%","0,00%",00:24:07,"9,00"
Resultado de processo seletivo de agente educador 2,2,"2,00","0,00%","25,00%",00:00:53,"1,00"
Resultado de quem passou,2,"1,50","50,00%","0,00%",00:00:15,"1,50"
resultado do concurso agente educador,2,"4,00","50,00%","0,00%",00:01:00,"2,50"
Resultado final concurso agente educador,2,"2,00","100,00%","0,00%",00:00:19,"0,00"
resultado final da prova para agente educador,2,"7,50","0,00%","20,00%",00:04:25,"0,50"
Resultado final do concurso de auxiliar de creche ano 2015,2,"8,00","50,00%","0,00%",00:08:59,"2,50"
Resultado finão do concurso professor adjunto rj,2,"2,00","50,00%","25,00%",00:00:21,"0,00"
Resultado oficial,2,"1,50","0,00%","0,00%",00:05:16,"3,50"
resultado oficial da prova ag educador ll prefeiturado rj 2019,2,"2,00","0,00%","0,00%",00:34:08,"15,00"
Resultado preliminar do concurso para Agente Educador ll,2,"2,00","50,00%","0,00%",00:00:23,"0,50"
Resultado prova,2,"2,00","0,00%","25,00%",00:03:12,"1,50"
