# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
Polícia Civil rj,33,"2,85","39,39%","7,45%",00:01:53,"1,45"
prefeitura,33,"3,52","24,24%","12,07%",00:04:05,"2,73"
Tj,33,"2,55","33,33%","13,10%",00:04:53,"4,45"
Vigilância sanitária,33,"2,33","30,30%","3,90%",00:04:05,"3,00"
detran,32,"2,06","9,38%","24,24%",00:01:54,"2,50"
educação,32,"3,53","34,38%","7,08%",00:05:06,"5,28"
tcm,32,"2,56","18,75%","9,76%",00:03:42,"5,75"
tcm rj,32,"2,34","15,62%","10,67%",00:02:29,"2,81"
Campinas,31,"2,42","29,03%","6,67%",00:03:26,"2,61"
Educação,31,"4,13","25,81%","5,47%",00:06:36,"4,39"
Pedro II,31,"1,90","12,90%","10,17%",00:04:47,"4,45"
TJ,31,"2,26","16,13%","20,00%",00:05:14,"7,45"
Provas,30,"2,80","26,67%","9,52%",00:03:10,"5,03"
Resultado,30,"3,07","26,67%","8,70%",00:04:27,"2,03"
Assembleia legislativa do estado do Ceará,29,"1,34","100,00%","0,00%",00:03:00,"0,00"
Civil,29,"2,45","13,79%","11,27%",00:05:26,"6,24"
ebserh,29,"2,03","10,34%","1,69%",00:07:10,"5,10"
PF,29,"2,14","31,03%","8,06%",00:03:24,"2,86"
PRF,29,"2,69","31,03%","14,10%",00:05:25,"4,66"
Tcm,29,"2,62","17,24%","10,53%",00:03:15,"3,38"
Cabo Frio,28,"2,07","35,71%","10,34%",00:04:02,"3,36"
Policia Civil,28,"2,82","21,43%","7,59%",00:02:53,"3,04"
guarda municipal,27,"3,67","48,15%","6,06%",00:02:55,"1,59"
pc-rj,27,"2,11","25,93%","12,28%",00:07:33,"3,81"
tecnico de necropsia,27,"1,89","3,70%","15,69%",00:05:18,"4,63"
Técnico necropsia,27,"2,59","7,41%","17,14%",00:03:52,"4,59"
Agente Educador,26,"2,77","42,31%","0,00%",00:04:56,"2,88"
sme rj,26,"2,42","19,23%","12,70%",00:03:15,"1,65"
Tribunal,26,"2,54","34,62%","13,64%",00:04:29,"3,27"
Vunesp,26,"1,46","88,46%","0,00%",00:01:31,"0,62"
bombeiro,25,"2,72","52,00%","7,35%",00:02:15,"2,72"
Bombeiro,25,"2,76","44,00%","11,59%",00:01:26,"2,00"
PC RJ,25,"2,04","24,00%","13,73%",00:03:43,"4,08"
rio bonito,25,"3,00","8,00%","13,33%",00:10:24,"4,60"
vigilancia sanitaria,25,"2,60","28,00%","4,62%",00:04:13,"5,52"
embasa,24,"2,50","29,17%","3,33%",00:04:24,"3,83"
mpu,24,"2,29","29,17%","9,09%",00:07:11,"12,04"
Pcrj,24,"2,67","20,83%","12,50%",00:03:46,"3,75"
pedro ii,24,"3,38","12,50%","9,88%",00:04:17,"7,42"
POLICIA CIVIL,24,"2,62","33,33%","11,11%",00:04:44,"3,83"
anvisa,23,"1,74","21,74%","15,00%",00:03:01,"2,13"
Bacen,23,"2,22","52,17%","3,92%",00:03:17,"1,09"
Caixa,23,"1,87","34,78%","11,63%",00:01:26,"1,39"
Ebserh,23,"2,09","39,13%","4,17%",00:03:28,"2,09"
juiz,23,"2,17","30,43%","14,00%",00:02:04,"1,78"
pcerj,23,"2,09","4,35%","29,17%",00:02:46,"2,26"
Prefeitura,23,"3,70","43,48%","4,71%",00:02:47,"3,57"
Prova,23,"3,91","21,74%","6,67%",00:03:45,"4,78"
tj mg,23,"2,35","30,43%","12,96%",00:02:07,"2,52"
tjrj,23,"2,00","30,43%","21,74%",00:00:34,"0,83"
concurso,22,"2,50","13,64%","5,45%",00:11:47,"11,95"
Confere,22,"2,05","31,82%","8,89%",00:02:22,"1,32"
delegado,22,"2,59","27,27%","1,75%",00:01:24,"1,86"
Enfermeiro,22,"2,95","18,18%","6,15%",00:02:25,"3,95"
professor adjunto,22,"2,50","13,64%","3,64%",00:05:32,"3,23"
rio das ostras,22,"2,91","13,64%","18,75%",00:02:19,"3,41"
Saúde,22,"2,82","50,00%","4,84%",00:02:53,"2,73"
trf,22,"2,95","9,09%","13,85%",00:03:43,"5,14"
COMLURB,21,"2,33","19,05%","8,16%",00:02:02,"2,52"
Degase,21,"2,67","28,57%","8,93%",00:06:10,"3,00"
ibama,21,"1,95","57,14%","14,63%",00:02:40,"1,67"
Itaperuna,21,"2,48","28,57%","7,69%",00:02:40,"2,57"
Nova Iguaçu,21,"2,24","23,81%","17,02%",00:03:41,"1,81"
PC-RJ,21,"3,33","19,05%","11,43%",00:03:58,"3,14"
pcrj,21,"2,95","14,29%","14,52%",00:03:53,"3,57"
Pf,21,"2,57","42,86%","5,56%",00:01:26,"1,62"
PM,21,"2,81","28,57%","10,17%",00:02:47,"5,81"
Polícia Civil RJ,21,"2,67","23,81%","7,14%",00:05:51,"4,00"
Auxiliar,20,"2,50","40,00%","6,00%",00:00:52,"2,70"
enfermeiro,20,"4,40","40,00%","10,23%",00:02:53,"4,00"
Guarda municipal,20,"3,80","40,00%","6,58%",00:02:27,"4,80"
marinha,20,"2,40","10,00%","14,58%",00:03:54,"3,00"
nova iguaçu,20,"2,25","15,00%","20,00%",00:05:17,"4,80"
Rio das ostras,20,"2,40","50,00%","8,33%",00:01:09,"2,20"
saude,20,"3,10","30,00%","8,06%",00:02:32,"3,75"
TJ-RJ,20,"2,50","10,00%","10,00%",00:04:36,"8,15"
edital,19,"2,42","47,37%","4,35%",00:02:13,"1,63"
pm,19,"2,63","26,32%","10,00%",00:01:58,"2,84"
Resultado da prova,19,"3,37","36,84%","0,00%",00:07:56,"2,63"
silva jardim,19,"2,63","0,00%","18,00%",00:10:59,"7,11"
tce,19,"2,26","10,53%","18,60%",00:04:00,"2,68"
Betim,18,"1,94","33,33%","22,86%",00:01:03,"0,72"
concursos,18,"3,44","44,44%","0,00%",00:08:03,"13,94"
Detran,18,"2,17","44,44%","5,13%",00:01:28,"2,39"
Guarda Municipal,18,"2,28","61,11%","2,44%",00:03:39,"1,78"
Inspetor,18,"3,17","38,89%","5,26%",00:03:59,"4,72"
Lista de aprovados,18,"4,83","22,22%","3,45%",00:18:22,"7,83"
pc,18,"2,39","11,11%","18,60%",00:06:39,"5,22"
Pedro ii,18,"2,72","61,11%","4,08%",00:02:59,"3,11"
pge,18,"2,78","33,33%","14,00%",00:05:45,"5,17"
Pm,18,"2,33","11,11%","11,90%",00:02:53,"3,50"
proderj,18,"1,83","11,11%","9,09%",00:05:12,"6,67"
Trf,18,"2,61","55,56%","8,51%",00:05:21,"3,89"
trt,18,"2,22","38,89%","10,00%",00:01:40,"1,28"
Concurso rj,17,"5,24","58,82%","1,12%",00:03:37,"0,76"
detran rj,17,"1,82","35,29%","6,45%",00:03:28,"2,76"
itaperuna,17,"2,47","5,88%","4,76%",00:05:48,"3,53"
Marinha,17,"3,06","41,18%","5,77%",00:02:51,"4,06"
PC,17,"2,00","23,53%","17,65%",00:03:42,"3,35"
PC rj,17,"2,06","11,76%","22,86%",00:01:54,"1,18"
PMERJ,17,"2,41","41,18%","4,88%",00:04:40,"2,71"
Procurador,17,"4,41","58,82%","2,67%",00:03:59,"5,65"
provas,17,"2,76","11,76%","8,51%",00:06:44,"4,18"
TCM,17,"2,94","5,88%","12,00%",00:07:16,"6,47"
Técnico de enfermagem,17,"2,35","23,53%","15,00%",00:02:34,"2,71"
tre,17,"1,88","29,41%","18,75%",00:02:48,"2,71"
Direito,16,"2,19","25,00%","2,86%",00:01:57,"8,12"
dpu,16,"1,75","6,25%","32,14%",00:01:50,"4,06"
Ibama,16,"2,19","31,25%","8,57%",00:01:44,"4,31"
marica,16,"2,00","56,25%","18,75%",00:02:10,"1,88"
Niteroi,16,"2,00","12,50%","34,38%",00:00:32,"0,50"
Niterói,16,"2,25","18,75%","13,89%",00:02:48,"2,38"
Pcerj,16,"1,81","12,50%","31,03%",00:03:54,"4,06"
perito,16,"3,19","31,25%","5,88%",00:06:56,"6,56"
pge rj,16,"2,00","25,00%","15,62%",00:02:36,"3,00"
Psicologia,16,"3,00","37,50%","2,08%",00:02:52,"4,31"
Rio bonito,16,"2,56","25,00%","9,76%",00:04:35,"2,88"
SME AGENTE EDUCADOR 2,16,"3,81","18,75%","13,11%",00:17:37,"3,56"
tjmg,16,"1,94","62,50%","9,68%",00:00:36,"0,88"
trf3,16,"2,06","43,75%","6,06%",00:03:32,"2,44"
antt,15,"2,20","13,33%","6,06%",00:02:14,"3,53"
Auxiliar necropsia,15,"2,27","13,33%","20,59%",00:03:32,"5,40"
bnb,15,"1,80","73,33%","11,11%",00:00:17,"0,33"
cvm,15,"2,13","13,33%","21,88%",00:04:41,"3,87"
Delegado,15,"4,27","6,67%","7,81%",00:04:26,"5,60"
detran sp,15,"1,87","66,67%","3,57%",00:00:57,"0,80"
diplomata,15,"1,93","6,67%","6,90%",00:10:37,"5,00"
Emprego,15,"3,27","60,00%","2,04%",00:00:47,"0,73"
exercito,15,"2,00","6,67%","13,33%",00:06:14,"5,60"
Inscrição,15,"2,47","40,00%","2,70%",00:04:33,"2,67"
Motorista,15,"2,87","13,33%","9,30%",00:04:46,"4,27"
Mpu,15,"2,13","46,67%","9,38%",00:01:35,"1,07"
pc df,15,"2,20","26,67%","0,00%",00:02:48,"3,73"
PCRJ,15,"2,60","26,67%","17,95%",00:04:11,"5,07"
pedro,15,"2,47","13,33%","8,11%",00:03:05,"4,80"
Polícia federal,15,"2,53","20,00%","10,53%",00:03:17,"4,07"
promotor,15,"2,60","26,67%","15,38%",00:01:03,"1,40"
Receita federal,15,"2,07","33,33%","3,23%",00:02:21,"1,73"
Resultado agente educador,15,"3,00","46,67%","4,44%",00:04:39,"2,13"
Tcm rj,15,"2,33","33,33%","0,00%",00:01:35,"3,00"
TCM RJ,15,"3,07","53,33%","8,70%",00:05:30,"3,07"
Tjrj,15,"2,27","26,67%","20,59%",00:02:15,"1,93"
ufrrj,15,"2,93","20,00%","4,55%",00:04:56,"3,40"
auditor,14,"2,50","42,86%","2,86%",00:08:52,"5,50"
auxiliar,14,"2,71","7,14%","13,16%",00:04:16,"5,43"
BACEN,14,"2,57","35,71%","16,67%",00:02:26,"2,71"
Banco,14,"2,14","50,00%","13,33%",00:01:38,"3,21"
banco do brasil,14,"2,14","28,57%","23,33%",00:01:48,"2,93"
degase,14,"2,29","14,29%","6,25%",00:05:01,"6,29"
Guarda,14,"1,79","28,57%","8,00%",00:04:53,"4,43"
inspetor,14,"2,36","7,14%","6,06%",00:05:11,"2,79"
pcdf,14,"2,07","35,71%","10,34%",00:00:45,"1,36"
Perito,14,"3,71","14,29%","15,38%",00:02:03,"3,57"
receita,14,"1,79","28,57%","24,00%",00:02:35,"2,79"
Sme rj,14,"2,07","14,29%","27,59%",00:02:08,"1,93"
TRF 3,14,"1,93","35,71%","3,70%",00:01:26,"4,00"
Adjunto,13,"1,92","46,15%","8,00%",00:02:55,"1,15"
Agente,13,"2,23","23,08%","10,34%",00:06:11,"5,77"
AGENTE EDUCADOR,13,"2,08","0,00%","0,00%",00:01:14,"2,15"
agente educador II,13,"3,00","53,85%","10,26%",00:03:24,"2,38"
Agente educador II,13,"3,85","69,23%","6,00%",00:01:46,"1,38"
ancine,13,"2,00","23,08%","15,38%",00:03:23,"2,00"
Colégio Pedro II,13,"2,54","46,15%","0,00%",00:07:21,"3,38"
Colurb,13,"2,46","7,69%","31,25%",00:01:19,"1,77"
Concurso comlurb,13,"1,69","46,15%","4,55%",00:01:19,"0,77"
Concurso ibge,13,"3,08","46,15%","15,00%",00:08:58,"0,62"
Embasa,13,"3,31","30,77%","4,65%",00:01:01,"2,31"
fiscal,13,"2,31","46,15%","6,67%",00:03:29,"1,77"
Pc,13,"2,15","30,77%","25,00%",00:01:06,"1,23"
polícia civil rj,13,"2,15","15,38%","25,00%",00:02:22,"4,31"
Polícia civil RJ,13,"2,08","23,08%","18,52%",00:02:39,"4,15"
RIO DE JANEIRO,13,"2,23","15,38%","6,90%",00:04:07,"7,31"
sefaz,13,"2,92","30,77%","18,42%",00:06:03,"2,54"
tce-rj,13,"1,92","53,85%","16,00%",00:00:29,"1,92"
tcu,13,"2,38","30,77%","16,13%",00:01:16,"1,38"
tj ce,13,"2,38","7,69%","6,45%",00:04:57,"4,77"
TRE,13,"2,00","7,69%","23,08%",00:01:42,"2,15"
TRF,13,"2,46","23,08%","9,38%",00:03:15,"4,77"
administrativo,12,"3,83","16,67%","6,52%",00:05:13,"9,42"
agente educador rj,12,"2,08","16,67%","4,00%",00:04:28,"2,67"
Assistente administrativo,12,"3,33","33,33%","7,50%",00:02:24,"6,42"
civil-sp,12,"1,92","8,33%","0,00%",00:01:52,"2,42"
Classificação,12,"2,00","58,33%","12,50%",00:04:38,"0,75"
Comlurb 2019,12,"2,08","58,33%","8,00%",00:01:16,"1,67"
concurso araruama,12,"2,17","75,00%","3,85%",00:01:40,"1,25"
correios,12,"1,50","66,67%","11,11%",00:01:25,"0,42"
Depen,12,"2,42","8,33%","17,24%",00:05:46,"2,33"
Direito administrativo,12,"7,58","0,00%","0,00%",00:36:50,"5,58"
Juiz,12,"2,42","33,33%","17,24%",00:02:45,"3,08"
Maricá,12,"2,50","25,00%","13,33%",00:02:42,"1,67"
MPU,12,"2,92","41,67%","11,43%",00:16:42,"13,17"
Pmrj,12,"2,92","50,00%","11,43%",00:07:32,"5,50"
Policia federal,12,"2,58","0,00%","12,90%",00:05:44,"4,25"
polícia federal,12,"1,83","25,00%","9,09%",00:01:52,"1,00"
prova,12,"1,92","25,00%","17,39%",00:03:41,"2,75"
Saude,12,"3,00","41,67%","0,00%",00:02:28,"6,17"
sms,12,"1,83","16,67%","27,27%",00:06:02,"3,75"
Sms,12,"2,67","0,00%","12,50%",00:04:16,"3,33"
superior,12,"1,75","58,33%","14,29%",00:02:33,"1,75"
técnico de necropsia,12,"2,92","33,33%","17,14%",00:04:07,"3,50"
tj tocantins,12,"2,00","25,00%","0,00%",00:02:34,"3,17"
Tre,12,"2,50","50,00%","3,33%",00:03:29,"4,08"
trf 4,12,"3,92","25,00%","8,51%",00:06:25,"9,33"
tribunais,12,"2,75","16,67%","18,18%",00:07:42,"2,25"
administração,11,"2,64","27,27%","10,34%",00:01:53,"6,27"
areal,11,"2,09","45,45%","8,70%",00:03:57,"3,45"
assistente social,11,"4,27","27,27%","4,26%",00:07:17,"9,45"
Comlurb rj,11,"3,27","45,45%","11,11%",00:00:34,"0,73"
Compreensão de texto,11,"1,45","27,27%","12,50%",00:07:34,"6,55"
Concursos abertos,11,"3,36","36,36%","2,70%",00:06:18,"3,82"
